fragment;textbook-assigned cefr level
Большинство получили ранения от разлетевшихся в разные стороны гвоздей. К счастью, детей среди пострадавших нет. Взрыв произошёл в парикмахерской, находившейся на первом этаже здания.;B1
Юный Ломоносов очень хотел получить образование, поэтому, когда ему исполнилось 19 лет, он решил уехать из деревни. Рыбаки, которые отправились продавать рыбу в Москву, взяли Михаила с собой.;B1
Вот несколько советов, которые помогут вашей памяти работать хорошо. Соедините предмет и действие, которое вы делаете автоматически!;B1
Дети, у которых есть режим дня, более спокойные. Итак, наш день начинается в 8 часов. Это достаточно рано, и очень часто дети ещё хотят спать.;B1
И если первый вариант встречается в речи многих жителей других городов, то петербургский вариант вряд ли можно услышать за пределами города на реке Неве.;B1
На следующий день он пойдёт к друзьям. На Новый год в России обычно дарят подарки. Уже в ноябре Виктор начинает думать, что кому подарить.;B1
Виктор — добрый брат, поэтому в этом году он подарит ему современный дорогой телефон. Виктор надеется, что этот подарок понравится брату. А что подарить друзьям?;B1
В другой раз хозяин пригласил гостей и приказал Эзопу приготовить на обед самое худшее, что есть на свете. Эзоп опять пошёл на рынок, купил язык и приготовил его.;B1
В этом городе находится Центр управления полётами, который контролирует не только космические корабли, но и работу Международной космической станции. Именно поэтому этот город называют «космической столицей России».;B1
Большие проблемы были с бегемотом. По норме ему нужно было получать 36–40 кг корма, а получал он только 4–6 кг. Бегемот не погиб только благодаря сотруднице Е.И. Дашиной.;B1
Эксперимент показал, что люди, находившиеся в неубранной комнате, предлагали более креативные идеи, чем те, кто смотрел на аккуратный интерьер.;B1
Тогда все 336 сестёр Ангары помогли ей убежать к Енисею. Увидел это Байкал и бросил громадный камень, чтобы остановить её. Но Ангара убежала и нашла с Енисеем своё счастье.;B1
Он очень любил живопись, был знаком со всеми известными художниками, ездил на их выставки, чтобы купить лучшие картины для своей коллекции. В московском купеческом клубе рассказывали такую историю.;B1
В 1879 году Антон Чехов окончил гимназию, уехал из Таганрога в Москву и поступил на медицинский факультет Московского университета. Многолюдная шумная Москва произвела большое впечатление на молодого Чехова.;B1
Николай II себе не позволял работать по ночам. Он вообще очень внимательно следил за своим здоровьем, помня о внезапной смерти своего отца в 49 лет.;B1
В гости приезжали друзья и знакомые (7). В 1907 году умер отец, Афанасий Иванович. Когда произошло это несчастье, Михаилу было всего 16 лет, а младшей Елене — пять.;B1
Дети, рано начинающие самостоятельную жизнь, уходят из семьи. В этой ситуации сложно сохранить семейные традиции. Но американцы умеют удивительно дружно отмечать праздники.;B1
Это десять островов, по форме похожих на водяные лилии. Острова будут закреплены на дне океана.;B1
А «смех» дельфинов имеет совсем другую причину: они выглядят так всегда, даже когда очень грустны.;B1
Киев — мать городов русских. Украинская столица получила название матери городов русских в период Киевской Руси. Такое название можно встретить в древних писаниях.;B1
Ещё покупаю фрукты и овощи, мясо и рыбу, буханку хлеба, батон, сахар. В общем, несу домой целую сумку, не меньше семи килограммов.;B1
Они должны быть глубокими и эмоциональными: про любовь или про смерть. Евгения: Мне всегда нравились красивые баллады, я могу слушать их часами.;B1
Между собой они будут соединяться транспортной системой, создавая единый город, в котором есть всё необходимое для комфортной жизни. В центре каждого острова построят башню высотой около тысячи метров.;B1
Она всегда старается быть такой же, как он, всегда изменяется вместе с ним. Вторая семья: муж — глагол, жена — наречие.;B1
Люди поздравляли ветеранов и вспоминали тех, кто погиб, кто ценой собственной жизни завоевал эту победу. Есть несколько историй о людях, защищавших свою Родину. Я только раз видала рукопашный.;B1
Несмотря на её талант, найти работу в театре и стать оперной певицей ей не удалось. Она поняла, что женщине очень трудно добиться успеха. Работы не было, денег тоже.;B1
Такого ещё нигде и никогда не было». Всё проходит, прошли и Афинские игры. Алексей вернулся домой. Дома, в семье, можно успокоиться, отдохнуть, набраться сил, чтоб снова начать тренироваться.;B1
При этом учёный мечтал, чтобы результат его труда был использован только в мирных целях. Он считал войну страшным преступлением.;B1
А некоторые просто не понимают, зачем нужно регистрировать отношения, и годами живут в гражданском браке. Они уверены в том, что официальная регистрация не важна для создания счастливой семьи.;B1
Всю свою жизнь Василий Шукшин считал Михаила Ромма своим учителем. Михаил Ромм сыграл большую роль в жизни В. М. Шукшина. Он поверил в талант В. М. Шукшина и не ошибся.;B1
Когда Михаил Ромм прочитал рассказы В. М. Шукшина, он посоветовал ему послать их в разные газеты и журналы Москвы. Ромм был уверен, что рассказы В. М. Шукшина обязательно напечатают.;B1
После окончания вуза она пришла в фирму обычным бухгалтером, потом стала заместителем главного бухгалтера, а несколько лет назад возглавила бухгалтерию. Недавно ей предложили стать финансовым директором этого института.;B1
В парке были аллеи и пруды с мостиками, беседки, скульптуры, руины и другие постройки, напоминавшие о разных странах и эпохах. Чтобы понять русскую усадьбу, нужно представить её жизнь.;B1
Авачинская бухта (Авачинская губа) — большая бухта Тихого океана у юго-восточного побережья полуострова Камчатка. Это главные транспортные «ворота» Камчатского края. Основной порт — город Петропавловск-Камчатский, обслуживает рыболовные и грузовые корабли.;B1
Темой для него была выбрана история о гладиаторе Спартаке. Чтобы поставить балет, понадобилось много лет, и впервые он появился не в Большом театре, а в Театре им. Кирова.;B1
В детском саду дети рисуют, поют, танцуют, занимаются спортом. Один из лучших детских садов в Москве — «Колибри». Помимо общей образовательной программы, с трёх лет дети начинают изучать иностранный язык.;B1
К сожалению, сегодня она стала такой дорогой, что, если вы не миллионер, вы не сразу решите купить себе новую пару кроссовок. И ещё: если возможно, бегайте по мягкой поверхности.;B1
Так зачем нужно хобби? Зачем нужно тратить время и деньги? Ведь некоторые увлечения стоят очень дорого. Это стоит того! Канадские учёные говорят, что хобби — это эффективное лекарство от депрессий.;B1
Сигареты, алкоголь, наркотики, соль, сахар, чипсы, газировка, энергетики (список можно продолжить) — всё это факторы, разрушающие здоровье. Отказаться от них трудно, но можно. Многое зависит от нашей воли и мотивации.;B1
В 1757 году учёный становится советником Академической канцелярии, в 1758 году — руководителем Географического департамента, Исторического собрания, университета и гимназии.;B1
Александр Сергевич Пушкин — великий российский поэт, основоположник современного русского литературного языка. Ещё в процессе жизни у Пушкина была репутация великого национального русского поэта. Давайте узнаем, что ел известный поэт.;B1
Борщ — это традиционное русское и украинское блюдо (а также других славянских народов). Борщ готовят из картофеля, капусты, моркови, лука, зелени и, обязательно, свёклы. Свёкла делает этот суп тёмно-красным.;B1
Я ненавижу ванну и обычно принимаю душ. Например, сегодня, когда я встал, я чувствовал себя не очень хорошо. Но я принял контрастный душ, и теперь я свеж как огурчик!;B1
Чтобы узнать секрет кефира, обратились к известному тогда в России промышленнику молочных продуктов Бландову. Он решил послать за рецептом кефира свою сотрудницу Ирину Сахарову.;B1
Он спрятался на корабле и тайно уплыл в Турцию. Без документов и без денег. За год и восемь месяцев он объехал 17 стран.;B1
Недавно в газете было опубликовано сообщение о террористическом акте: «В городе N была взорвана бомба, в которой находились гвозди. 22 человека были ранены».;B1
День Победы — грустный праздник, потому что каждая семья потеряла близкого человека. В каждом доме кто-то не вернулся с войны.;B1
Русские называли его «кефир». В начале XX века на европейской части территории России хотели организовать промышленное производство этого напитка.;B1
Больше всего изменений в современном русском языке произошло на 1990-е годы. Ещё одним важным событием для языка стал интернет, который изменил человеческое общение.;B1
Эти часы играют музыку каждый час, а в 12 часов дня и в 12 часов ночи можно увидеть спектакль: из часов выходит петух и поёт.;B1
Самыми тёплыми регионами России являются Краснодарский край и Республика Адыгея (средняя температура января в районе Сочи — около +6 °С, июля — около +23 °С).;B1
Современные СМИ прочно вошли в нашу жизнь. Из СМИ мы узнаём о том, что происходит в мире, а также получаем необходимую справочную информацию, например, прогноз погоды и курсы валют.;B1
Серов интересовался русской историей, особенно эпохой царя Петра I. Образ Петра I сложен и неоднозначен на картинах художника.;B1
Им, рождённым в век высоких технологий, совсем не интересно ходить из зала в зал и разглядывать предметы прошлого, не понимая, зачем они были созданы.;B1
Я интересуюсь старинными зданиями, люблю смотреть на старинные храмы и церкви. Но и новые города бывают очень красивые. Мне приятно знать, что современные архитекторы тоже могут построить прекрасные здания.;B1
Сегодня мы продолжим читать книгу, которую начали читать позавчера. Обычно я прошу детей рассказать, что они поняли, что им понравилось или не понравилось.;B1
Как приятно плавать в прохладной воде после горячей парилки! Так мы паримся несколько раз. Потом мы пьём ароматный чай, отдыхаем и идём домой.;B1
Её семья жила очень трудно, денег всегда не хватало. О модельном бизнесе Наталья никогда не думала. Ей казалось, что это очень несерьёзная работа.;B1
А ведь эти героические девушки были совсем юными: самой старшей из них было 22 года, а самой младшей — 17 лет.;B1
Смирнов сказал: — Спасибо, Ольга. Потом он прочитал отчёт ещё раз, проверил, всё ли он написал, и сказал: — Ольга, передайте, пожалуйста, мой отчёт начальнику.;B1
Его мать попала в автомобильную катастрофу. Матери, лежащей в больнице, нужны деньги на лечение. Ник не знал, что делать. Он хотел найти работу.;B1
Люди, получившие высшее образование, живут дольше, чем те, кто окончил только школу. Считается, что люди с высшим образованием меньше курят и употребляют алкоголь.;B1
Если есть достаточно свободного времени, к нашим услугам спортивные и тренажёрные залы, бассейны, теннисные корты, футбольные поля, танцевальные площадки, парки и велосипедные дорожки.;B1
Ник — красивый, талантливый человек, окончивший театральную школу в России, а теперь живущий в Англии. У него много проблем. Он безработный. У него нет денег. От него ушла жена.;B1
Им впервые удалось в настоящем космическом корабле больше суток летать вокруг планеты и вернуться домой живыми и здоровыми. После возвращения они стали героями. У Стрелки родились дети (щенки).;B1
На свои деньги Владимир Потанин купил для музея «Эрмитаж» картину Казимира Малевича «Чёрный квадрат» за один миллион долларов.;B1
Эта реформа была очень важна для русского языка, так как она помогла сделать письмо более понятным и удобным.;B1
Первоначально Московский университет был расположен в здании, находящемся на Красной площади, на том месте, где сейчас находится Исторический музей.;B1
Полезные свойства бани можно дополнить ароматерапией, а также массажем веником. Однако не стоит забывать о двух важных правилах.;B1
Иван начал с изучения иероглифов. Было трудно, но Иван знал, что за 21 день он привыкнет к новому образу жизни.;B1
Но в семье всё делалось для ребёнка. Когда ему исполнилось три года, бабушка подарила ему тарелки, на которых был алфавит, а рядом с каждой буквой находился рисунок предмета.;B1
Людей, помогающих искусству, называют меценатами. Павел Третьяков — один из самых известных русских меценатов. Сегодня в России мечтают о появлении новых меценатов. Но их пока, к сожалению, очень мало.;B1
В мире существует 87 отелей «Ритц», которые сегодня называются «Ритц-Карлтон», и только парижский отель носит традиционное название «Ритц».;B1
Менеджеры по персоналу должны искать именно таких сотрудников, потому что без них компания не может долго работать успешно.;B1
Многие влюблённые пары мечтают встретиться здесь на свидание. В меню ресторана — блюда итальянской кухни только из местных продуктов.;B1
Среди них особое место занимают отношения между человеком и окружающей средой. В XX веке в результате роста численности населения, а также увеличения мирового производства начались большие перемены в природе.;B1
Это значит, мы приезжаем к университету, вы выходите из машины и идёте учиться. Отвозить или отвезти кого-то куда-то – это значит привезти человека в какое-то место и оставить там. Понятно?;B1
Леонардо да Винчи пошёл дальше других: он вообще не спал по ночам и заменил этот процесс короткими периодами сна, которые длились по 15-20 минут.;B1
Вахтёр тоже поздоровался с Владимиром Ивановичем и сказал, что сегодня документы подать, конечно, можно. Тогда Владимир Иванович спросил, где он может взять анкету.;B1
Куда в России отправиться на перезагрузку. Чтобы сбежать от городского шума, необязательно уезжать за границу. В нашем обзоре — живописные и необычные места России, куда стоит отправиться, когда нужна перезагрузка.;B1
У каждого министра был «свой день», когда он приходил к императору и рассказывал о ситуации в своём министерстве.;B1
Москва и Санкт-Петербург — это два красивых города. У каждого города и его окрестностей есть свои особенности. Так, например, есть вещи, которые москвичи и петербуржцы называют по-разному.;B1
Но когда я нашёл сад, дорогу и к остановке, было уже слишком поздно: я увидел, как от остановки уехал автобус. Конечно, бабушка уже села на него.;B1
Всего через 30 лет после выхода работы Циолковского «Свободное пространство», в которой он описал, как работает ракетный двигатель, в 1957 году в космос полетел первый искусственный спутник Земли.;B1
В Рождество люди ходят друг к другу в гости и, конечно, дарят друг другу рождественские подарки.;B1
Фёдор Конюхов — один из немногих путешественников в России, которые побывали на семи самых высоких вершинах мира.;B1
Малыш! Когда няня прибежала на кухню, она увидела надкушенный пирог и Ханну с синими губами. Девочка уже почти задохнулась, но Меган быстро сделала манёвр Геймлиха и спасла ребёнка.;B1
С развитием науки в МГУ открывались новые и новые факультеты, например, факультет наук о материалах, факультет биоинженерии и биоинформатики, факультет фундаментальной медицины и другие.;B1
На территории фуд-корта обычно можно также купить свежие овощи и фрукты, сыр, мясо, колбасу и сосиски, выпить свежевыжатый сок или смузи.;B1
В итоге тело человека может нагреваться до 39–44 0C, а температура внутренних органов повышается до 38–39 0C. В финской сауне температура воздуха может достигать 80–120 0C, а влажность — всего 4–10%.;B1
Чем больше таких сообщений я получал, тем понятнее мне стало, что устное общение стало каким-то специальным действием. Для решения проблем это очень неудобно.;B1
Справа и слева от парадного двора размещались скотный и конный дворы, амбары и другие хозяйственные постройки, и сад. Во многих усадьбах были церкви.;B1
Даже привычную пищу можно разнообразить — с помощью соусов. Если их нет, то можно в томатную пасту добавить немного соевого соуса — будет очень вкусно!;B1
Можно ли научиться делать сбережения? Осознание проблемы — первый шаг к её решению. Одного шага, конечно, мало, но можно использовать популярную сегодня методику игры.;B1
Он сказал, что я очень хорошо говорю по-русски. Утром я обычно говорю: — Давайте сначала отвезём детей в школу, потом отвезите меня, пожалуйста, в университет.;B1
У меня есть знакомая, которая во всём себе может отказывать, но должна выложить в Инстаграм фото, которые показывают, как у неё всё здорово.;B1
Через некоторое время, уже в России, Мария познакомилась с князем Тенешевым и скоро вышла за него замуж. Теперь она была счастлива и богата.;B1
Когда подошла наша очередь, мы сели в автобус и поехали в город. Мы ехали и смотрели в окно.;B1
Когда ему было 5 лет, он впервые отправился путешествовать, доехал до Москвы, но полиция задержала его и отправила домой.;B1
Он вошёл в комнату и сразу лёг на диван. Я не могла запретить ему спать на моём диване. Мне пришлось уступить ему своё место. Он изменил мою жизнь.;B1
«В 1971 году 80 белых школьных автобусов, везущих 320 хиппи, прибыли на заброшенную ферму в центре штата Теннеси.»;B1
Положить горячую сосиску в булочку и добавить горчицы придумал иммигрант из Германии Чарльз Фельтман в 1871 году.;B1
Сергей Петров, студент московского университета, говорит: «У меня есть любимая девушка, я сделал ей предложение, и она согласилась».;B1
Что касается фотографий, то я, проходя, например, мимо красивого фасада, думала о том, что здесь обязательно нужно сфотографироваться.;B1
Мы с женой отдыхали в этом отеле несколько дней в прошлом августе. В номере есть чайник и кофемашина.;B1
Мы с братом очень похожи и внешне, и по характеру. В детстве я нервировала его, а сейчас мы очень хорошо ладим. Мы всё до сих пор поддерживаем связь.;B1
Самым сложным этапом жизни в Санкт-Петербурге было время, когда нужно было снимать жильё. После покупки своей квартиры нам стало спокойнее. Я люблю Санкт-Петербург, люблю людей, которые здесь живут.;B1
Когда я с родителями приехала сюда в первый раз, удивилась, что здесь летом хорошая погода. Перед переездом я слышала, что в России часто дискриминируют азиатов, и боялась этого.;B1
В таком составе университет существовал до 1918 г. Учёба продолжалась три года. Сегодня в университете 24 факультета, а также Медицинский колледж и Колледж физической культуры и спорта, экономики и технологии.;B1
Человек почти сразу же после появления на свет начинает смеяться: с того момента, когда видит улыбающееся лицо матери.;B1
О том, как перестать производить мусор и бережно относиться к природе, рассказывают всё чаще. Это правильно, но не всякий совет — истина. На каждый из них стоит посмотреть внимательнее.;B1
Мы спросили у пяти человек на улице, в каких случаях им приходилось обманывать других людей. Трое из пяти ответили, что они это делали, чтобы не обидеть собеседника правдой.;B1
Но Конюхов не собирается останавливаться. Он планирует отправиться в новое кругосветное плавание на яхте «Алые Паруса». Во время путешествия Конюхов хочет создать серию картин, посвящённых Индийскому и Тихому океанам.;B1
В статье мы привели несколько примеров, но список интересных идей, о чём начать писать блог или о чём написать отдельный пост, можно продолжать бесконечно. А какие у вас идеи?;B1
«Любовь живёт три года, это официально доказали учёные, — говорит 27-летний Алексей, который уже трижды был женат. — После этого мужчина начинает интересоваться другими. Я всегда честен со своей женой».;B1
Всем, кто стремится совместить карьеру и семейное счастье, наш эксперт даёт три совета. Во-первых, необходимо обсудить этот вопрос с будущим мужем до свадьбы. Готов ли он поддерживать вас?;B1
Владимир Иванович подошёл к служащему, поздоровался и попросил, чтобы он дал ему анкету, которую нужно заполнить, чтобы получить работу.;B1
Это официальная версия происхождения этого слова. Согласно второй версии, перед вступлением в брак мужчина просит у девушки её руку.;B1
Все родители хотят, чтобы у детей была стабильная и обеспеченная жизнь. Они уверены, что в вузе их дети получат много знаний и умений, открывающих двери в успешное будущее.;B1
Вы можете пойти гулять с собакой или погладить кошку. Больше обнимайтесь и держитесь за руки. Сидите прямо. Контролируйте положение спины, когда работаете за компьютером. Примите ванну при свечах.;B1
Илья Репин в некрологе писал: «Для меня произведения Серова всегда были бесконечно притягательны, как самый чистый драгоценный камень».;B1
Это была огромная сумма! Налог на бороды был не только в петровской России, но и в елизаветинской Англии.;B1
Это хобби включает игру на музыкальных инструментах, развитие вокальных талантов или просто посещение концертов и изучение музыкальных стилей.;B1
Ему больше нравилась самостоятельная работа в химической лаборатории. Он решил изменить профессию, стать химиком, чтобы серьёзно заниматься любимым делом. Бородин уехал в Москву и создал там химическую лабораторию.;B1
Рабочий день Игоря Смирнова начинается в 9 утра, но в понедельник он пришёл на работу пораньше, потому что он должен был подготовить отчёт о командировке и передать его начальнику.;B1
По мнению учёных, причиной экологической катастрофы, которая происходит на Земле, стал человек. Каждый год растёт производство, а это значит, что увеличивается количество углекислого газа, увеличивается количество мусора, пыли.;B1
Вскоре Чулпан вышла замуж. У неё родилась дочь. Сейчас Чулпан живёт в Москве, у неё уже три дочери. Она играет в театре, снимается в российском и зарубежном кино.;B1
И тогда кот вбежал в комнату сына и начал его кусать, пока он не проснулся и не позвонил в 911.;B1
Мне не нравится эта тенденция. По-моему, женщины не должны выглядеть так же, как мужчины. Мы разные, и это хорошо.;B1
А в Ленинградской области, на берегу Ладожского озера, туристы могут увидеть реконструкцию зимнего сражения на «Дороге жизни». Безграничные возможности открывает дополненная реальность перед музеями технической и научной тематики.;B1
От других абитуриентов он узнал, что в этом институте есть факультет, который готовит будущих режиссёров, то есть людей, снимающих фильмы. Тогда он решил поступать на режиссёрский факультет. Начались экзамены.;B1
Она занималась своей семьёй, домом, воспитывала трёх сыновей. В свободное время Екатерина писала небольшие повести и рассказы, потом стала заниматься литературными переводами. Но эта работа ей не очень нравилась.;B1
Однако Перельман отказался от этой премии, объясняя это тем, что он уже ушёл из науки и не считает себя профессиональным математиком. Ведь премия присуждена за работы, написанные в 2002 году.;B1
Но недавно я шёл по парку и случайно увидел его с новой девушкой. Он был счастлив. Они шли вместе и держались за руки. Потом они обнялись и поцеловались.;B1
С этого момента ёлка становится символом новогоднего праздника. (5) Вечер накануне Нового года называли щедрым. Обильный праздничный стол, по древней традиции, обеспечивал благополучие и богатство семье на весь год.;B1
Положите конверт рядом с ключами, без которых вы не сможете выйти из дома. А вечером вам надо обязательно выпить лекарство. Положите это лекарство около кровати, где вы спите.;B1
У меня по две тренировки в день: утром и вечером. В период соревнований я провожу на катке целый день.;B1
Из-за этой особенности финская сауна имеет больше противопоказаний, чем паровая русская баня, особенно для людей, страдающих от заболеваний сердца.;B1
Каждое посещение бани — это стресс для вашего организма, во время которого происходит тренировка сердца и дыхательной системы, обмена веществ.;B1
В старину главным блюдом русского рождественского стола был жареный поросёнок с гречневой кашей или другие блюда из свинины, а также домашние пироги с мясом, с грибами, с капустой.;B1
Сейчас начинают просматривать ленту «ВКонтакте». Я не хочу возвращаться в социальные сети. Для жизни они мне не нужны. Я не звезда, и по работе я ими не пользуюсь.;B1
За трансляциями необычных экскурсий в сети следили более 100 000 зрителей. Технологии общения. Многие считают, что музей должен стать местом коммуникаций, где беспрерывно идёт обмен мнениями и информацией с посетителями.;B1
Он даёт возможность создать новую электронную технику. По мнению учёных, благодаря этому материалу через несколько лет будут изобретены компьютеры нового типа, работающие в несколько раз быстрее современных.;B1
Многие водители в России пользуются приложениями Яндекс. Карты и Яндекс. Навигатор. Мобильные устройства передают свои координаты, направление и скорость. Данные поступают в специальную программу, которая самостоятельно анализирует их.;B1
Реклама везде: в автобусах и на автобусах, на дорогах, на телеэкране, в газетах, журналах и в интернете.;B1
Но сейчас у меня есть две близкие подруги, мы любим проводить время вместе и всегда друг друга поддерживаем. Мне кажется, трудно быть близкими друзьями с противоположным полом.;B1
Встречаясь в этот день, люди приветствуют друг друга словами: «Христос воскрес!» — «Воистину воскрес!» — и три раза целуются. По традиции на Пасху люди дарят друг другу крашеные яйца.;B1
Когда подруги приходят ко мне, он сразу подходит к ним и ласково смотрит им прямо в глаза.;B1
Он был опубликован за границей — сначала в Италии на итальянском языке, а потом в США на русском.;B1
Только однажды в Турции его арестовали и посадили в тюрьму. Но оттуда Ромка убежал. Проехав по странам Европы, он поехал в Бразилию. Бразилия разочаровала путешественника: там некрасиво и грязно.;B1
